city,geography_code,geography_name,industry_name,number_of_jobs,median_income_dollars
Adelaide,40205,Tea Tree Gully,rental,1302,33164
Adelaide,40205,Tea Tree Gully,retail_trade,7985,19407
Adelaide,40205,Tea Tree Gully,total,74718,35896
Adelaide,40205,Tea Tree Gully,transport,2195,53876
Adelaide,40205,Tea Tree Gully,wholesale_trade,2794,56393
Adelaide,40301,Holdfast Bay,accommodation_food_services,2374,7636
Adelaide,40301,Holdfast Bay,administrative_support_services,2215,14968
Adelaide,40301,Holdfast Bay,agriculture,148,13906
Adelaide,40301,Holdfast Bay,arts_recreation_services,804,9446
Adelaide,40301,Holdfast Bay,construction,1420,53291
Adelaide,40301,Holdfast Bay,education_training,2873,39742
Adelaide,40301,Holdfast Bay,electricity,218,112247
Adelaide,40301,Holdfast Bay,finance_insurance_services,1235,54643
Adelaide,40301,Holdfast Bay,health_care_social_assistance,4494,40460
Adelaide,40301,Holdfast Bay,information_media_telecommunications,355,55239
Adelaide,40301,Holdfast Bay,manufacturing,1229,50727
Adelaide,40301,Holdfast Bay,mining,304,137654
Adelaide,40301,Holdfast Bay,other_services,810,24219
Adelaide,40301,Holdfast Bay,professional,2090,59112
Adelaide,40301,Holdfast Bay,public_administration_safety,1927,69304
Adelaide,40301,Holdfast Bay,rental,491,34186
Adelaide,40301,Holdfast Bay,retail_trade,2189,15056
Adelaide,40301,Holdfast Bay,total,27090,33203
Adelaide,40301,Holdfast Bay,transport,714,55324
Adelaide,40301,Holdfast Bay,wholesale_trade,884,55298
Adelaide,40302,Marion,accommodation_food_services,7034,8456
Adelaide,40302,Marion,administrative_support_services,7623,12903
Adelaide,40302,Marion,agriculture,383,11058
Adelaide,40302,Marion,arts_recreation_services,1772,9310
Adelaide,40302,Marion,construction,4252,50686
Adelaide,40302,Marion,education_training,7099,41285
Adelaide,40302,Marion,electricity,658,95440
Adelaide,40302,Marion,finance_insurance_services,3473,48600
Adelaide,40302,Marion,health_care_social_assistance,17122,39102
Adelaide,40302,Marion,information_media_telecommunications,872,47682
Adelaide,40302,Marion,manufacturing,3712,50732
Adelaide,40302,Marion,mining,665,112580
Adelaide,40302,Marion,other_services,2502,27108
Adelaide,40302,Marion,professional,5376,55526
Adelaide,40302,Marion,public_administration_safety,5360,65265
Adelaide,40302,Marion,rental,1168,35807
Adelaide,40302,Marion,retail_trade,7512,18368
